"","site_id","tran_id","detection","det_strict","det_type","det_type_strict","ontran","obs_num","col_point","utm_x","utm_y","date","time","elev","avg_wind_spd","air_temp","gr_temp","rock_ind","abs_shr_dens","vap_pres_kPa","prey_pres","time_hms"
"1","Calico Basin","CB146",0,0,"","n","y",3,1,640876,4002863,2025-04-05,"10:39:00",1233,4.8,17.8,17.5,1.5,0.0970487475859124,1.60812112844612,0,10:39:00
"2","Calico Basin","CB146",0,0,"","n","y",3,2,641135,4002878,2025-04-05,"11:05:00",1200,17.4,16.7,16,4,1.63316967612204,1.50194429401041,0,11:05:00
"3","Calico Basin","CB146",0,0,"","n","y",3,3,641371,4002870,2025-04-05,"11:19:00",1177,4.3,15.5,23,4,0.578293744307421,1.43875570776412,0,11:19:00
"4","Calico Basin","CB146",0,0,"","n","y",3,4,641621,4002926,2025-04-05,"11:48:00",1176,9.2,16.1,22,4,0.395553973339662,1.50420512691858,2,11:48:00
"5","Calico Basin","CB146",0,0,"","n","y",3,5,641883,4002955,2025-04-05,"12:27:00",1166,8.7,15.9,18,3,0.920127207586449,1.51040548787138,3,12:27:00
"6","Calico Basin","CB195",0,0,"","n","y",3,1,643683,4003135,2025-04-05,"13:38:00",1126,8.2,18.1,26,4,0.523202391034927,1.79868426782125,0,13:38:00
"7","Calico Basin","CB195",0,0,"","n","y",3,2,643462,4003097,2025-04-05,"14:02:00",1135,2.5,21.5,28,3.5,0.163910242751069,2.22335189780829,0,14:02:00
"8","Calico Basin","CB195",0,0,"","n","y",3,3,643236,4003033,2025-04-05,"14:22:00",1132,2.7,20.1,24,4,0.215330451494124,2.1175156160911,0,14:22:00
"9","Calico Basin","CB195",0,0,"","n","y",3,4,643001,4002985,2025-04-05,"14:41:00",1150,5.5,19.8,21,4,0.382218251399277,2.02773068305291,1,14:41:00
"10","Calico Basin","CB195",0,0,"","n","y",3,5,642714,4002917,2025-04-05,"15:09:00",1153,2,21.6,25,3,0.375226601689927,2.1750687480483,0,15:09:00
