"","tran_id","site_id","detection","det_type","ontran","obs_num","date","start_time","elev","avg_wind_spd","air_temp","gr_temp","rock_ind_avg","rock_ind_median","shr_dens","vap_pres_kPa","prey_pres","start_time_hms","quar_1_m","quar_2_m","quar_3_m","quar_4_m","total_length_m","tran_time"
"1","CB004","Calico Basin",1,"s","y",1,2025-05-28,"17:47:00",1239.83,6.55,29.63,30.5,4,4,0.1303,3.503,0,17:47:00,298.49,171.7,309.91,240.92,1021.02,"1:39:00"
"2","CB005","Calico Basin",0,"","y",1,2025-06-30,"5:50:00",1182.2,2.1,29.16,28,4.6,4.5,0.3611,3.17,2,05:50:00,266.1,254.52,243.49,243.74,1007.85,"1:31:00"
"3","CB007","Calico Basin",0,"","y",1,2025-06-07,"8:50:00",1344.8,2.38,29.6,32.2,2.6,2,0.3875,2.781,2,08:50:00,246.69,248.2,298.87,230.25,1024.01,"1:36:00"
"4","CB008","Calico Basin",0,"","y",1,2025-04-18,"8:05:00",1121,6.3,14.78,17.8,4.1,4,0.5195,1.299,0,08:05:00,199.54,223.64,233.6,343.01,999.79,"1:45:00"
"5","CB010","Calico Basin",0,"","y",1,2025-04-30,"9:03:00",1340,6.26,22.02,29,4.3,4.5,0.7866,1.934,0,09:03:00,279.78,250.36,242.47,229.29,1001.9,"1:34:00"
"6","CB011","Calico Basin",0,"","y",1,2025-04-27,"15:16:00",1298.8,6.04,14.8,17.7,2.4,2,0.2459,1.187,1,15:16:00,245.32,240.64,217.74,290.9,994.6,"1:55:00"
"7","CB012","Calico Basin",0,"","y",1,2025-06-23,"8:42:00",1224.4,3.48,26.22,29.8,3.2,3.5,1.0986,3.015,0,08:42:00,249.65,236.75,251.23,262.36,999.99,"1:40:00"
"8","CB020","Calico Basin",0,"","y",1,2025-07-27,"6:05:00",1248.8,1.84,23.98,22.1,3,3,0.3018,2.266,1,06:05:00,250.06,235.22,261.38,235.54,982.2,"1:53:00"
"9","CB021","Calico Basin",0,"","y",1,2025-04-30,"14:17:00",1308,4.34,26.22,33.9,2.9,3,0.3657,3.071,2,14:17:00,275.11,233.43,258.18,228.59,995.31,"1:29:00"
"10","CB033","Calico Basin",0,"","y",1,2025-06-27,"6:27:00",1179.2,1,26.88,25.8,3.7,4,0.3806,2.76,0,06:27:00,275.33,254.91,198.96,274.41,1003.61,"1:54:00"
"11","CB040","Calico Basin",0,"","y",1,2025-05-03,"9:18:00",1158.2,4.18,25.24,32,3.4,3,0.6463,2.353,5,09:18:00,283.52,229.74,228.96,257.46,999.68,"1:56:00"
"12","CB047","Calico Basin",0,"","y",1,2025-06-14,"18:24:00",1308.6,3.42,30.54,29.4,3.3,4,0.5668,4.097,1,18:24:00,261.2,270.88,283.78,276.85,1092.71,"1:48:00"
